date,game_id,matchup,result,action,side,line,price,pred_total,edge,confidence,kelly_pct,model_prob,market_prob,fair_prob,ev_novig,consensus_total,line_diff_vs_consensus,best_book,bet_month,calibration_multiplier,market_velocity,referee_info,referee_avg_goals,referee_home_bias,closing_total,closing_price,closing_source,clv_vs_closing
2025-10-07 10:24:08,2025020001,CHI@FLA,LOSS,,OVER,5.5,-111.0,5.798512266823068,0.2985122668230682,0.7880375918606737,5.0,,,,-0.0254041570438798,5.5,0.0,,,,,,,,,,,
2025-10-07 11:04:52,2025020001,CHI@FLA,LOSS,,OVER,5.5,-111.0,5.884255829103754,0.3842558291037541,0.8011616064954726,5.0,,,,-0.0254041570438798,5.5,0.0,,,,,,,,,,,
2025-10-07 12:07:26,2025020001,CHI@FLA,LOSS,,OVER,5.5,-106.0,6.429294868690597,0.9292948686905972,0.8845859492893772,5.0,,,,-0.0143540669856459,5.5,0.0,,,,,,,,,,,
2025-10-07 12:07:26,2025020002,PIT@NYR,WIN,,UNDER,6.0,-105.0,4.4499368143826326,-1.5500631856173674,0.8014314096496129,5.0,,,,0.0117508813160986,6.0,0.0,,,,,,,,,,,
2025-10-07 12:52:31,2025020003,COL@LAK,LOSS,,OVER,5.5,100.0,5.980243296672253,0.4802432966722527,0.8158535658171815,5.0,,,,0.0267639902676399,5.5,0.0,,,,,,,,,,,
2025-10-07 14:46:54,2025020003,COL@LAK,WIN,,UNDER,7.5,-110.0,5.559693356754762,-1.940306643245238,0.835265682830182,5.0,,,,-0.0454545454545454,7.5,0.0,,,,,,,,,,,
2025-10-07 14:50:14,2025020003,COL@LAK,WIN,,UNDER,6.5,-110.0,5.622769499636608,-0.8772305003633925,0.6503595273643644,5.0,,,,-0.0454545454545454,6.5,0.0,,,,,,,,,,,
2025-10-07 15:47:06,2025020003,COL@LAK,LOSS,,OVER,5.5,100.0,5.92205313691524,0.42205313691524,0.7892683372829449,5.0,,,,0.0314769975786926,5.5,0.0,,,,,,,,,,,
2025-10-07 16:42:04,2025020001,CHI@FLA,LOSS,,OVER,5.5,-115.0,6.574228835390788,1.0742288353907885,0.8918921686822635,5.0,,,,-0.0244661921708185,5.5,0.0,,,,,,,,,,,
2025-10-07 16:42:04,2025020002,PIT@NYR,WIN,,UNDER,6.0,-103.0,4.174447880064132,-1.8255521199358684,0.8737636057372972,5.0,,,,0.0259789334466959,6.0,0.0,,,,,,,,,,,
